,Variance,Interphase,Interobserver,Perturbation,Treatment AUC univariate,Control AUC univariate,Treatment AUC multivariate,Control AUC multivariate
Entropy,0.10351192288925018,0.8955084181745896,0.8150306601562153,0.939504364,0.7092731829573935,0.4443438914027149,0.8045112781954887,0.6476621417797889
Uniformity,0.00048676054381796417,0.8827458175334202,0.7046692698880996,0.938422434,0.2977443609022556,0.54947209653092,0.8010025062656643,0.6452488687782806
log_sigma_3_mm_3D_glcm_DifferenceAverage_32_binCount,0.2796044666307374,0.9421763451992722,0.839672134033754,0.952559374,0.6741854636591479,0.4847662141779789,0.7689223057644111,0.6173453996983409
log_sigma_3_mm_3D_glcm_DifferenceEntropy_32_binCount,0.09594795732117851,0.9303286889108028,0.8897237850976659,0.946231852,0.67468671679198,0.4828054298642534,0.7804511278195488,0.6274509803921569
log_sigma_3_mm_3D_glcm_Id_32_binCount,0.006096291437128991,0.9311086942144428,0.8317880937204317,0.965859999,0.33734335839599,0.5144796380090497,0.774937343358396,0.627450980392157
log_sigma_3_mm_3D_glcm_Idm_32_binCount,0.009016392540516869,0.9296742737347872,0.8343026091961189,0.965785731,0.33784461152882206,0.516289592760181,0.7739348370927319,0.6280542986425339
log_sigma_3_mm_3D_glcm_Idn_32_binCount,0.00019511421107239446,0.940257671254757,0.8560720445152381,0.955085396,0.32631578947368417,0.5153846153846153,0.7704260651629072,0.6167420814479638
log_sigma_3_mm_3D_glcm_InverseVariance_32_binCount,0.002255124748562753,0.9281170167496507,0.8886074567056205,0.918525197,0.33383458646616543,0.5244343891402715,0.7819548872180451,0.6144796380090498
GLCM_JE,0.4142777277020043,0.8887244088266216,0.800127449141031,0.943344581,0.699749373433584,0.4349924585218703,0.806015037593985,0.6464555052790347
GLCM_SE,0.09919714049920621,0.8616416698157862,0.7171248759567437,0.928720346,0.7333333333333334,0.4393665158371041,0.8240601503759399,0.6555052790346907
GLCM_SS,79.32241463252288,0.8843678189695535,0.7677889849322075,0.90410415,0.7323308270676692,0.458974358974359,0.8035087719298246,0.6366515837104072
GLRLM_GLNUN,0.0003056058626296115,0.8857165809548965,0.7849065702737112,0.935893767,0.29824561403508776,0.5499245852187028,0.8035087719298245,0.6487179487179487
log_sigma_3_mm_3D_glrlm_GrayLevelVariance_32_binCount,83.2310183294559,0.9088010606556064,0.8179933551922077,0.92171365,0.7263157894736842,0.4672699849170437,0.7884711779448622,0.6372549019607843
log_sigma_3_mm_3D_glrlm_RunLengthNonUniformityNormalized_32_binCount,0.007221888995918227,0.937122935990492,0.711930883357757,0.96835324,0.6546365914786968,0.5025641025641026,0.7659147869674188,0.6215686274509804
log_sigma_3_mm_3D_glrlm_RunPercentage_32_binCount,0.004977630824194996,0.941808216993598,0.7233188776561977,0.971863168,0.6441102756892231,0.4990950226244344,0.7659147869674185,0.620211161387632
log_sigma_3_mm_3D_glrlm_RunVariance_32_binCount,0.16386312350244653,0.9484399972090032,0.7006153085919155,0.962089662,0.3724310776942356,0.506184012066365,0.7659147869674187,0.6184012066365008
GLSZM_GLNUN,0.00010887660091430431,0.8671140323970873,0.7280797692147414,0.915761191,0.2907268170426065,0.5155354449472096,0.7959899749373434,0.6280542986425339
log_sigma_3_mm_3D_glszm_GrayLevelVariance_32_binCount,39.44856127588431,0.8881301284931346,0.725499009029875,0.904695565,0.7162907268170426,0.5199095022624435,0.775438596491228,0.6199095022624435
log_sigma_3_mm_3D_gldm_GrayLevelVariance_32_binCount,90.34900570226863,0.9064167143398212,0.8128633849458639,0.922896259,0.7233082706766918,0.4665158371040724,0.7859649122807018,0.6378582202111613
