,Univariate treatment,Univariate treatment,Univariate control,Univariate control,Multivariate interaction,Multivariate interaction,Multivariate interaction adjusted,Multivariate interaction adjusted
,p-value,p-value corrected,p-value,p-value corrected,p-value,p-value corrected,p-value,p-value corrected
original_shape_Elongation,0.41436773328478516,0.5379510923346333,0.014741509268945548,0.9872638152909196,0.3605524790834337,0.6578837656081236,0.3852333571564871,0.6065376261612776
original_shape_Flatness,0.3859107342100092,0.5379510923346333,0.10863950405159739,0.9872638152909196,0.7687219974771285,0.9325479969394674,0.5585610407234476,0.7005680849751715
original_shape_LeastAxisLength,0.045881856216286244,0.13581029440020728,0.2357631320365981,0.9872638152909196,0.263085101443949,0.6578837656081236,0.15218708732548156,0.3883394642098495
original_shape_MajorAxisLength,0.07422354723640329,0.1893980170859946,0.9790620477090908,0.9919230763390461,0.12893129241104798,0.41482241906163264,0.04095828927126694,0.15154567030368768
original_shape_Maximum2DDiameterColumn,0.020481725365956743,0.07470292980793866,0.29362559284860645,0.9872638152909196,0.15627332377022787,0.4447779214998793,0.06441752532348784,0.190675874957524
original_shape_Maximum2DDiameterRow,0.054463960624681895,0.15501281100871,0.7797262548191232,0.9872638152909196,0.15539880495024488,0.4447779214998793,0.0486036372067782,0.15772698887414838
original_shape_Maximum2DDiameterSlice,0.13845734537574525,0.29275629309181744,0.5229902321755278,0.9872638152909196,0.41824982107610054,0.6578837656081236,0.19681202025606942,0.4854696499649712
original_shape_Maximum3DDiameter,0.03244090699085075,0.1043750920575198,0.53496864805466,0.9872638152909196,0.15300905940741236,0.4447779214998793,0.057779228470056294,0.1781526211160069
original_shape_MinorAxisLength,0.06008462994324692,0.16467639317778784,0.30322695962453533,0.9872638152909196,0.33786257139070625,0.6578837656081236,0.13455622248827181,0.3556128737190041
original_shape_SurfaceArea,0.10907747694813776,0.25224166544256854,0.36083018927313226,0.9872638152909196,0.16803137268207785,0.4605304288323615,0.12288885757131837,0.3368064985287985
original_firstorder_90Percentile_32_binCount,0.6294328231429931,0.7635742444685489,0.7496756118466354,0.9872638152909196,0.5616531391705616,0.7044463101461281,0.60815671988056,0.7500599545193573
original_firstorder_Energy_32_binCount,0.3498420487637516,0.510733564430282,0.2416090342418038,0.9872638152909196,0.8461701817976053,0.9487362644397392,0.874504453603435,0.9399638977184496
original_firstorder_InterquartileRange_32_binCount,0.9940998463146269,0.9940998463146269,0.742234101603099,0.9872638152909196,0.8433665759338389,0.9487362644397392,0.7385623123501763,0.8858258246937254
original_firstorder_Maximum_32_binCount,0.40122016494005164,0.5379510923346333,0.7004879695258017,0.9872638152909196,0.3690815192747906,0.6578837656081236,0.30312451834712084,0.565404697685932
original_firstorder_MeanAbsoluteDeviation_32_binCount,0.8882009777635234,0.9665716522720695,0.8395859700885697,0.9872638152909196,0.9861170253129387,0.9975321237249359,0.9573593049731791,0.970473816000209
original_firstorder_Mean_32_binCount,0.5728324541246695,0.7184678238173822,0.4323037458029715,0.9872638152909196,0.35729092499692383,0.6578837656081236,0.4344903851958669,0.6304370294998853
original_firstorder_Median_32_binCount,0.7043586201579408,0.8018851983336557,0.35223413134657655,0.9872638152909196,0.3909702668109528,0.6578837656081236,0.49363690001169214,0.6540216155476211
original_firstorder_Range_32_binCount,0.39518516962245764,0.5379510923346333,0.7802258098844654,0.9872638152909196,0.4062778829162126,0.6578837656081236,0.3277722448859459,0.5713344240916478
original_firstorder_RobustMeanAbsoluteDeviation_32_binCount,0.9910090312272766,0.9940998463146269,0.747709610310004,0.9872638152909196,0.8337916007721242,0.9487362644397392,0.7541490129149283,0.8858258246937254
original_firstorder_RootMeanSquared_32_binCount,0.5826345691657768,0.7185826353044581,0.5317356208711759,0.9872638152909196,0.41452422601465844,0.6578837656081236,0.47969900572717505,0.6540216155476211
original_firstorder_TotalEnergy_32_binCount,0.3498420487637516,0.510733564430282,0.2416090342418038,0.9872638152909196,0.8461701817976053,0.9487362644397392,0.874504453603435,0.9399638977184496
original_firstorder_Variance_32_binCount,0.5392055022378708,0.6879518476828007,0.5819189657421306,0.9872638152909196,0.9097801793347076,0.9900549010407111,0.8764528235482841,0.9399638977184496
original_glcm_DifferenceAverage_32_binCount,0.21702171840771045,0.3779391662812638,0.544500709534923,0.9872638152909196,0.5312282233949276,0.6962611409823443,0.48211835725755126,0.6540216155476211
original_glcm_DifferenceEntropy_32_binCount,0.23960170232743158,0.4029664993688622,0.9588359498434854,0.9919230763390461,0.37439012422027274,0.6578837656081236,0.3132647649340975,0.565404697685932
original_glcm_Id_32_binCount,0.26522589409200475,0.4361492480624078,0.8287247732952089,0.9872638152909196,0.4534063790001932,0.6578837656081236,0.38065628658716966,0.6065376261612776
original_glcm_Idm_32_binCount,0.27785192903076644,0.44697919017992865,0.8638584321119458,0.9872638152909196,0.4507880471343534,0.6578837656081236,0.376696143685473,0.6065376261612776
original_glcm_Idn_32_binCount,0.2196132993255992,0.3779391662812638,0.599071568649175,0.9872638152909196,0.5090058182267848,0.6848441917960378,0.4597207784029441,0.6540216155476211
original_glcm_InverseVariance_32_binCount,0.3319098078650438,0.510733564430282,0.7872599027054515,0.9872638152909196,0.5457181915807563,0.6962611409823443,0.5439452286110518,0.6973731117548247
original_glrlm_RunLengthNonUniformity_32_binCount,0.11756268315943069,0.2636254107211476,0.1728883849640463,0.9872638152909196,0.31169302391110126,0.6578837656081236,0.23162267092773503,0.5491320831240526
original_glszm_GrayLevelNonUniformity_32_binCount,0.15502021388010273,0.29414091864429753,0.2879693358476711,0.9872638152909196,0.3518704758324841,0.6578837656081236,0.23746252243202276,0.5491320831240526
