,pre_contrast_index,early_contrast_index,late_contrast_index
100899,0,2,5
102011,0,2,6
103693,0,2,5
104384,0,2,6
105286,0,2,5
105513,0,2,5
108939,0,2,5
109623,0,2,6
109874,0,2,5
109980,0,2,6
111004,0,2,6
111038,0,2,6
111344,0,2,6
111646,0,2,6
111674,0,2,6
111881,0,2,5
112606,0,2,5
114087,0,2,5
115638,0,2,5
116165,0,2,6
117424,0,2,5
117707,0,2,6
119928,0,2,5
120001,0,2,6
120422,0,2,5
122287,0,2,5
122579,0,2,5
122795,0,2,6
123660,0,2,5
125130,0,2,6
125418,0,2,5
127675,0,2,5
127791,0,2,5
128051,0,2,6
128675,0,2,6
129837,0,2,5
129973,0,2,6
130892,0,2,5
131595,0,2,5
132463,0,2,5
133650,0,2,5
134526,0,2,5
136536,0,2,6
138425,0,2,6
139137,0,2,5
139771,0,2,6
141782,0,2,5
142688,0,2,6
145513,0,2,5
146033,0,2,5
147139,0,2,5
149654,0,2,6
151230,0,2,6
151481,0,2,4
151980,0,2,5
152197,0,2,5
153327,0,2,6
153880,0,2,5
154293,0,2,5
155171,0,2,5
157270,0,2,5
157463,0,2,5
159284,0,2,5
159352,0,2,5
160120,0,2,6
164468,0,2,6
166412,0,2,5
166782,0,2,6
167271,0,2,6
168044,0,2,5
169536,0,2,6
172168,0,2,5
172283,0,2,6
174903,0,2,5
174904,0,2,5
177795,0,2,6
178649,0,2,6
178815,0,2,5
180027,0,2,5
180663,0,2,5
181442,0,2,5
181819,0,2,5
182346,0,2,5
183831,0,2,5
188091,0,2,6
188511,0,2,5
190224,0,2,5
192548,0,2,5
194024,0,2,6
196024,0,2,6
197942,0,2,6
198891,0,2,6
199115,0,2,5
199960,0,2,5
200222,0,2,4
201831,0,2,5
201873,0,2,5
202539,0,2,5
202956,0,2,5
203254,0,2,5
204939,0,2,6
208265,0,2,5
208303,0,2,6
209397,0,2,5
211408,0,2,5
212307,0,2,5
213328,0,2,6
213672,0,3,6
215932,0,2,5
218249,0,2,6
220664,0,2,5
221375,0,2,5
223030,0,2,5
223526,0,2,5
225836,0,2,5
227832,0,2,5
227881,0,2,6
228192,0,2,6
228340,0,2,6
229144,0,2,6
229328,0,2,5
229824,0,2,5
231633,0,2,6
233832,0,2,6
233962,0,2,6
234272,0,2,6
235995,0,2,5
236470,0,2,5
238790,0,2,5
239061,0,2,5
240035,0,2,5
240432,0,2,6
241705,0,2,6
242370,0,2,6
243836,0,2,6
245655,0,2,5
246134,0,2,6
247641,0,2,6
248255,0,2,5
250274,0,2,6
252748,0,2,5
254060,0,2,6
254273,0,2,5
255078,0,2,5
255535,0,2,5
255577,0,2,6
