,Perturbation,Interphase,Interobserver
original_shape_Elongation,0.929688374,1.0,0.7480531917035103
original_shape_Flatness,0.959931028,1.0,0.8080093314905566
original_shape_LeastAxisLength,0.997925143,1.0,0.905216924858138
original_shape_MajorAxisLength,0.996871606,1.0,0.94500676151922
original_shape_Maximum2DDiameterColumn,0.993854363,1.0,0.9334914831175526
original_shape_Maximum2DDiameterRow,0.993385919,1.0,0.9265362463781616
original_shape_Maximum2DDiameterSlice,0.998201309,1.0,0.9392893121860474
original_shape_Maximum3DDiameter,0.997389547,1.0,0.9351363998615754
original_shape_MeshVolume,0.998362142,1.0,0.5817911042106024
original_shape_MinorAxisLength,0.997328954,0.9999999999999996,0.9288754898457346
original_shape_Sphericity,0.997377166,1.0,0.6121352917608776
original_shape_SurfaceArea,0.999053574,1.0,0.7940581791828248
original_shape_SurfaceVolumeRatio,0.990396634,1.0,0.5036821528718519
original_shape_VoxelVolume,0.998502912,1.0,0.5971306414554824
original_firstorder_10Percentile,0.973456422,0.9505949730156734,0.5356486034056972
original_firstorder_90Percentile,0.999195075,0.9837586788290724,0.988925393095626
original_firstorder_Energy,0.998636007,0.969815973887342,0.9843293046696128
original_firstorder_Entropy,0.878507671,0.8065368530418285,0.7880261769626014
original_firstorder_InterquartileRange,0.9806404,0.9474558318877342,0.754403720588257
original_firstorder_Kurtosis,0.551703295,0.7798678594944612,0.5237007555816408
original_firstorder_Maximum,0.975004945,0.9746197559991102,0.996361468794761
original_firstorder_MeanAbsoluteDeviation,0.990860631,0.9653195903749444,0.8145606426534425
original_firstorder_Mean,0.996150012,0.9734091551753804,0.8967431852689147
original_firstorder_Median,0.994360863,0.968126691830122,0.8630678178804495
original_firstorder_Minimum,0.890205099,0.8138321084040827,0.1131355338480233
original_firstorder_Range,0.973707588,0.9676219612781328,0.953253409357562
original_firstorder_RobustMeanAbsoluteDeviation,0.985592566,0.95233783584672,0.7671375717515281
original_firstorder_RootMeanSquared,0.997486573,0.9760918307621408,0.9402412476821276
original_firstorder_Skewness,0.945492863,0.8204369574237975,0.536801083314898
original_firstorder_TotalEnergy,0.998636007,0.9695324694786224,0.9835992869583275
original_firstorder_Uniformity,0.884475934,0.8035854993079965,0.689687975032306
original_firstorder_Variance,0.99315778,0.953550310785622,0.7261539299498961
original_glcm_Autocorrelation,0.934384524,0.7923073820706124,0.6289952376762351
original_glcm_ClusterProminence,0.827140791,0.5862167167071463,0.3769117274384834
original_glcm_ClusterShade,0.900721313,0.6973019396915857,0.3584490980851573
original_glcm_ClusterTendency,0.860220107,0.6570439690623865,0.4877913315369112
original_glcm_Contrast,0.886901508,0.8422156810005911,0.8088889605754965
original_glcm_Correlation,0.917078687,0.8331574033160583,0.5636781571453654
original_glcm_DifferenceAverage,0.918719698,0.8642900489411796,0.834087861560518
original_glcm_DifferenceEntropy,0.920612338,0.8649536190665204,0.8392737852192899
original_glcm_DifferenceVariance,0.871142204,0.8194026921218842,0.8384148630704288
original_glcm_Id,0.938893547,0.8862290123751769,0.783942510751833
original_glcm_Idm,0.940131851,0.8874320768612889,0.7768960550707436
original_glcm_Idmn,0.894943938,0.8462196876270098,0.8257001087131507
original_glcm_Idn,0.923985393,0.8687155908996059,0.8331537724987764
original_glcm_Imc1,0.962031133,0.8533437027613826,0.4141211886755477
original_glcm_Imc2,0.946721586,0.8130119782252418,0.5346802082972484
original_glcm_InverseVariance,0.923963886,0.8716630481756179,0.821873758589435
original_glcm_JointAverage,0.942555663,0.7865221409391938,0.6461572274366982
original_glcm_JointEnergy,0.834864597,0.8311754563101679,0.5134920542580568
