,Treatment mean,Treatment CI lower,Treatment CI higher,Control mean,Control CI lower,Control CI higher,p-value,Treatment p-value,Improvement p-value
All,0.37836031532561515,0.2795761713303032,0.48302776902824157,0.18807150536924977,0.13909691056705267,0.24404842021228218,0.0,0.019000000000000017,0.02200000000000002
GLCM_SS+,0.5613635103596857,0.4247764238851716,0.6956135523363993,0.17627157474559926,0.1112391695974108,0.2510713956818025,0.0,,
HER2-,0.2979374854796515,0.19635139866325738,0.41984702437309473,0.17666436132258237,0.1257435021478999,0.2359228680821342,0.019000000000000017,0.043749999999999956,0.04674999999999996
HER2-GLCM_SS+,0.4691086653560717,0.30757517193563483,0.6227659822074976,0.167556665921548,0.10242012134989084,0.24241816667757723,0.0,,
HER2+,0.5264603342416783,0.3666816861136641,0.6876723348321847,0.24368757493838275,0.12267965260770555,0.3953048878207851,0.0030000000000000027,0.0625,0.10024999999999995
HER2+GLCM_SS+,0.710728922607579,0.526923492181424,0.8548134702861714,0.2346188551661399,0.10416396635266001,0.41085364178771655,0.0,,
HR-,0.48437626554073687,0.3468747602614873,0.6181868686015863,0.2461689500657809,0.166635956040593,0.3359154321953448,0.0010000000000000009,0.019750000000000045,0.03049999999999997
HR-GLCM_SS+,0.7119555061450616,0.5427002543403672,0.851232559240386,0.24601155007993583,0.14623507278973844,0.3620960030786701,0.0,,
HR+,0.26264383351557474,0.14974167204442299,0.40237500466003034,0.1380234622633436,0.08069605867709892,0.20307487285696105,0.029249999999999998,0.08474999999999999,0.09150000000000003
HR+GLCM_SS+,0.4123047036367841,0.24950930079427167,0.5860382872860426,0.13408933634591091,0.07379790504502395,0.2101343428515553,0.0004999999999999449,,
HR-HER2-,0.39342882781647903,0.24621534258440916,0.546558647020623,0.23277821069988122,0.15290143998557637,0.3244994229405158,0.026000000000000023,0.027750000000000052,0.04400000000000004
HR-HER2-GLCM_SS+,0.6296945922496675,0.43507901462465315,0.804837595127419,0.23466367139616512,0.1397742621136108,0.3532023028724137,0.0004999999999999449,,
HR-HER2+,0.6392180897259176,0.4528497739937151,0.8011139964043512,0.32664738445565134,0.16491967214365288,0.5165487516692284,0.0050000000000000044,0.04974999999999996,0.13675000000000004
HR-HER2+GLCM_SS+,0.8286363509288646,0.6627440685313122,0.9380990665849727,0.3334119217787458,0.15099116475330682,0.5511419717576788,0.0,,
HR+HER2-,0.19174363539949335,0.09162591557569041,0.3185643571655933,0.12709529928203678,0.07500845932147147,0.19391017841054142,0.16000000000000003,0.10975000000000001,0.11150000000000004
HR+HER2-GLCM_SS+,0.321347605035215,0.1652173832840679,0.5044316974595137,0.12328010598276314,0.06521182728287277,0.19972456429940977,0.00924999999999998,,
HR+HER2+,0.3944222065592931,0.21616644879627542,0.5948119724773261,0.1909523320017329,0.0839871224629327,0.33781199478368434,0.03149999999999997,0.11350000000000005,0.13075000000000003
HR+HER2+GLCM_SS+,0.577556110595381,0.3433806118540361,0.7877510062782039,0.1888958923754762,0.0766410388346857,0.3481405256036707,0.0017500000000000293,,
MP-,0.3171183710671126,0.1949992167878528,0.44945342871325944,0.14520504451195457,0.08814619102676727,0.2094791349462113,0.005249999999999977,0.09275,0.09424999999999994
MP-GLCM_SS+,0.4659842691241243,0.3057063099368884,0.6354142023650927,0.1374660531145098,0.07765284019864742,0.21670226845907095,0.00024999999999997247,,
MP+,0.4383160517660653,0.30557284030853055,0.5775255080100334,0.23757617314210547,0.15912706046921518,0.3248015186093277,0.0050000000000000044,0.02200000000000002,0.035499999999999976
MP+GLCM_SS+,0.6679862416892831,0.4879951212690216,0.8193746314649598,0.23246881003330833,0.13963220958182523,0.3433290840767871,0.0,,
